Month,Passengers
1/1/1949,112
1/2/1949,118
1/3/1949,132
1/4/1949,129
1/5/1949,121
1/6/1949,135
1/7/1949,148
1/8/1949,148
1/9/1949,136
1/10/1949,119
1/11/1949,104
1/12/1949,118
1/1/1950,115
1/2/1950,126
1/3/1950,141
1/4/1950,135
1/5/1950,125
1/6/1950,149
1/7/1950,170
1/8/1950,170
1/9/1950,158
1/10/1950,133
1/11/1950,114
1/12/1950,140
1/1/1951,145
1/2/1951,150
1/3/1951,178
1/4/1951,163
1/5/1951,172
1/6/1951,178
1/7/1951,199
1/8/1951,199
1/9/1951,184
1/10/1951,162
1/11/1951,146
1/12/1951,166
1/1/1952,171
1/2/1952,180
1/3/1952,193
1/4/1952,181
1/5/1952,183
1/6/1952,218
1/7/1952,230
1/8/1952,242
1/9/1952,209
1/10/1952,191
1/11/1952,172
1/12/1952,194
1/1/1953,196
1/2/1953,196
1/3/1953,236
1/4/1953,235
1/5/1953,229
1/6/1953,243
1/7/1953,264
1/8/1953,272
1/9/1953,237
1/10/1953,211
1/11/1953,180
1/12/1953,201
1/1/1954,204
1/2/1954,188
1/3/1954,235
1/4/1954,227
1/5/1954,234
1/6/1954,264
1/7/1954,302
1/8/1954,293
1/9/1954,259
1/10/1954,229
1/11/1954,203
1/12/1954,229
1/1/1955,242
1/2/1955,233
1/3/1955,267
1/4/1955,269
1/5/1955,270
1/6/1955,315
1/7/1955,364
1/8/1955,347
1/9/1955,312
1/10/1955,274
1/11/1955,237
1/12/1955,278
1/1/1956,284
1/2/1956,277
1/3/1956,317
1/4/1956,313
1/5/1956,318
1/6/1956,374
1/7/1956,413
1/8/1956,405
1/9/1956,355
1/10/1956,306
1/11/1956,271
1/12/1956,306
1/1/1957,315
1/2/1957,301
1/3/1957,356
1/4/1957,348
1/5/1957,355
1/6/1957,422
1/7/1957,465
1/8/1957,467
1/9/1957,404
1/10/1957,347
1/11/1957,305
1/12/1957,336
1/1/1958,340
1/2/1958,318
1/3/1958,362
1/4/1958,348
1/5/1958,363
1/6/1958,435
1/7/1958,491
1/8/1958,505
1/9/1958,404
1/10/1958,359
1/11/1958,310
1/12/1958,337
1/1/1959,360
1/2/1959,342
1/3/1959,406
1/4/1959,396
1/5/1959,420
1/6/1959,472
1/7/1959,548
1/8/1959,559
1/9/1959,463
1/10/1959,407
1/11/1959,362
1/12/1959,405
1/1/1960,417
1/2/1960,391
1/3/1960,419
1/4/1960,461
1/5/1960,472
1/6/1960,535
1/7/1960,622
1/8/1960,606
1/9/1960,508
1/10/1960,461
1/11/1960,390
1/12/1960,432
